PostOffice (2,-25) 0
A (2,14) 0
B (27,14) 0
C (34,6) 0
D (34,8) 0
E (2,4) 0
F (13,-4) 0
G (-12,7) 0
H (-12,4) 0
I (-14,-7) 0
J (-15,-7) 0
K (-10,15) 0
L (-6,15) 0
M (11,5) 0
N (12,5) 0
O (21,0) 0
P (21,-5) 0
Q (-6,-4) 0
R (-6,-21) 0
S (18,-15) 0
T (10,-15) 0
Strandvejen5 (7,14) 2
Strandvejen8 (13,14) 2
Anavej3 (12,5) 3
Anavej10 (11,5) 3
Kastetvej83 (4,-4) 1
Kastetvej8 (10,-4) 3
Skolebakken6 (21,-1) 3
Skolebakken30 (21,-4) 3
Valmuemarken21 (16,-15) 3
Valmuemarken24 (12,-15) 3
Egevej1 (34,7) 3
Egevej13 (34,6) 3
Skytten2 (-6,-16) 1
Skytten14 (-6,-7) 1
Floravej2 (-15,-7) 1
Floravej19 (-14,-7) 1
Fuglevaenget5 (-12,5) 2
Fuglevaenget78 (-12,6) 2
Finlandsvej4 (-9,15) 2
Finlandsvej43 (-7,15) 2
Pickup1 (-6,1) 1
Pickup2 (25,-10) 3
Pickup3 (14,20) 2
